n,seconds
678,0.000444
679,0.0005274
680,0.0003955
681,0.0004598
682,0.0004392
683,0.0004223
684,0.00043
685,0.000412
686,0.0004149
687,0.0004086
688,0.0004104
689,0.0004132
690,0.0004551
691,0.0004097
692,0.0004072
693,0.0004894
694,0.0004739
695,0.0004441
696,0.0004518
697,0.0004951
698,0.0004204
699,0.0004451
700,0.0004193
701,0.0005706
702,0.0007059
703,0.0006461
704,0.0004141
705,0.0004223
706,0.0004212
707,0.0004116
708,0.0004411
709,0.000443
710,0.0004312
711,0.000439
712,0.0004243
713,0.0004822
714,0.0004558
715,0.0004104
716,0.0004901
717,0.000515
718,0.0005195
719,0.0004277
720,0.0004543
721,0.0004318
722,0.0005228
723,0.0005083
724,0.000512
725,0.0005327
726,0.0004739
727,0.0004521
728,0.0004906
729,0.0004639
730,0.000532
731,0.0004622
732,0.0004554
733,0.0004457
734,0.0004298
735,0.0004389
736,0.0004391
737,0.0004315
738,0.0004508
739,0.0004429
740,0.000435
741,0.0004233
742,0.0004459
743,0.0004369
744,0.0004529
745,0.0004143
746,0.0004571
747,0.0004316
748,0.0004459
749,0.0004213
750,0.0005204
751,0.0004632
752,0.0005559
753,0.0005319
754,0.0004252
755,0.0004842
756,0.000537
757,0.0005081
758,0.0004848
759,0.0004505
760,0.000486
761,0.0004466
762,0.0004458
763,0.000431
764,0.0004486
765,0.0004429
766,0.0004739
767,0.0004484
768,0.000429
769,0.0004696
770,0.0004377
771,0.0004398
772,0.0004272
773,0.0004402
774,0.0004604
775,0.0004382
776,0.0005221
777,0.0004818
778,0.0004879
779,0.000451
780,0.0004504
781,0.0005244
782,0.0005824
783,0.0005212
784,0.0005074
785,0.0004444
786,0.0005869
787,0.000464
788,0.0004581
789,0.0004849
790,0.0004455
791,0.0004519
792,0.0004491
793,0.0004571
794,0.0004534
795,0.0004459
796,0.0004583
797,0.0004431
798,0.0004729
799,0.0004737
800,0.000464
801,0.0004627
802,0.0005132
803,0.0004627
804,0.000469
805,0.0004974
806,0.000457
807,0.0004612
808,0.0004648
809,0.0004637
810,0.0006202
811,0.0005697
812,0.0005667
813,0.0005216
814,0.0005084
815,0.0004838
816,0.0004792
817,0.0004736
818,0.0004603
819,0.0004777
820,0.0004655
821,0.0004757
822,0.0004659
823,0.0004708
824,0.0004823
825,0.0004685
826,0.0004761
827,0.0005086
828,0.0004751
829,0.0005349
830,0.0005127
831,0.0004898
832,0.0005167
833,0.0004804
834,0.0004759
835,0.0004747
836,0.0004811
837,0.0005295
838,0.0006003
839,0.0005457
840,0.0006375
841,0.0005342
842,0.0005795
843,0.0005405
844,0.0005095
845,0.0004818
846,0.0005072
847,0.0005205
848,0.0004878
849,0.0005106
850,0.0004945
851,0.0004823
852,0.0005062
853,0.0004885
854,0.0006007
855,0.0005979
856,0.0005256
857,0.0005627
858,0.0005099
859,0.0005531
860,0.0006484
861,0.0004886
862,0.0004888
863,0.0005782
864,0.0006483
865,0.0005484
866,0.0005491
867,0.0005743
868,0.0005372
869,0.0004871
870,0.0005026
871,0.0005788
872,0.0005321
873,0.000498
874,0.0004965
875,0.0005845
876,0.000502
877,0.0005135
878,0.000555
879,0.0005276
880,0.0005177
881,0.0006021
882,0.0005166
883,0.000567
884,0.0005726
885,0.0005228
886,0.0005172
887,0.0005575
888,0.0005484
889,0.0006921
890,0.0005976
891,0.0006513
892,0.0005884
893,0.0005734
894,0.0005902
895,0.0005673
896,0.0005601
897,0.0005332
898,0.000514
899,0.0005348
900,0.0005336
901,0.0005499
902,0.0007875
903,0.0006549
904,0.0005658
905,0.0005547
906,0.000522
907,0.0005636
908,0.0005239
909,0.0005293
910,0.0005376
911,0.0005359
912,0.0005451
913,0.0006647
914,0.0006226
915,0.0005731
916,0.0005999
917,0.0006208
918,0.000557
919,0.000565
920,0.0005963
921,0.0005428
922,0.0005431
923,0.0005516
924,0.0006313
925,0.0005313
926,0.0005634
927,0.000603
928,0.0005275
929,0.0005404
930,0.0005429
931,0.000527
932,0.0005782
933,0.0005514
934,0.0005416
935,0.0005543
936,0.000539
937,0.00073
938,0.0005908
939,0.0005846
940,0.0005981
941,0.0006533
942,0.0005471
943,0.0005912
944,0.0005533
945,0.0005567
946,0.0005541
947,0.0005913
948,0.0005611
949,0.0005696
950,0.0005566
951,0.0005706
952,0.0005529
953,0.0005428
954,0.0005389
955,0.0005507
956,0.0005832
957,0.0005901
958,0.0005711
959,0.0005821
960,0.0005575
961,0.0007394
962,0.0006136
963,0.0007021
964,0.0005999
965,0.0006669
